ALG, INST, t[s], alpha, custo, custo_total, percent_total, melhor_custo, relacao_melhor, iteracao_melhor, grafo_nos, solucao_nos, grafo_arestas, solucao_arestas,,,,,,,,
A1, D1-B.dat,0.00209829,0,197,274,71.90%,106,85.85%,0,1000,4,1250,3,,D1-B,1.518785,197,0.858491,106,,
A2, D1-B.dat,1.52521,0.1,197,274,71.90%,106,85.85%,3,1000,4,1250,3,,,1.51821,188,0.773585,106,,
A2, D1-B.dat,1.54452,0.1,197,274,71.90%,106,85.85%,7,1000,4,1250,3,,,1.560605,188,0.773585,106,,
A2, D1-B.dat,1.56782,0.1,197,274,71.90%,106,85.85%,42,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.54923,0.1,197,274,71.90%,106,85.85%,165,1000,4,1250,3,,,3.224405,186,106,0.754717,0.4,186
A2, D1-B.dat,1.54288,0.1,197,274,71.90%,106,85.85%,9,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.52876,0.1,197,274,71.90%,106,85.85%,40,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.52636,0.1,197,274,71.90%,106,85.85%,46,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.54608,0.1,197,274,71.90%,106,85.85%,26,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.58736,0.1,197,274,71.90%,106,85.85%,18,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.49811,0.1,197,274,71.90%,106,85.85%,203,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.48639,0.1,197,274,71.90%,106,85.85%,65,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.48,0.1,197,274,71.90%,106,85.85%,38,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.47855,0.1,197,274,71.90%,106,85.85%,15,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.47914,0.1,197,274,71.90%,106,85.85%,41,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.47417,0.1,197,274,71.90%,106,85.85%,98,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.51218,0.1,197,274,71.90%,106,85.85%,6,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.48679,0.1,197,274,71.90%,106,85.85%,10,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.52511,0.1,197,274,71.90%,106,85.85%,47,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.51246,0.1,197,274,71.90%,106,85.85%,28,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.50526,0.1,197,274,71.90%,106,85.85%,125,1000,4,1250,3,,,,,,,,
A2, D1-B.dat,1.46205,0.2,188,274,68.61%,106,77.36%,39,1000,3,1250,2,,,,,,,,
A2, D1-B.dat,1.46552,0.2,188,274,68.61%,106,77.36%,19,1000,3,1250,2,,,,,,,,
